,7
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,0.9951828029196228
arabic-sk3gram,0.9813092749144047
arabic-xsk2gram,1.0
arabic-xsk3gram,0.9242896406917067
english-1gram,0.6233302013179687
english-2gram,0.3024343089465944
english-3gram,0.2799618436063373
english-sk2gram,0.4281077784369152
english-sk3gram,0.5581518151272745
english-xsk2gram,0.3647944156487065
english-xsk3gram,0.3283655904272524
french-1gram,0.625139722756591
french-2gram,0.24389383274668341
french-3gram,0.35726386606267846
french-sk2gram,0.4842397022969826
french-sk3gram,0.23575962930767005
french-xsk2gram,0.6291424269065933
french-xsk3gram,0.4217456834862068
german-1gram,0.49392161528340295
german-2gram,0.37344569409249767
german-3gram,0.6970257390314817
german-sk2gram,0.5551957184431401
german-sk3gram,0.4682849033021295
german-xsk2gram,0.3686132251005209
german-xsk3gram,0.35355312320199134
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,1.0
russian-sk2gram,0.9987577486391542
russian-sk3gram,0.9993593808031522
russian-xsk2gram,0.9972393072655157
russian-xsk3gram,0.9996343688959822
