,1gram,2gram,3gram,sk2gram,sk3gram
arabic,0.8938245129589104,0.8183128501657108,0.6401164136461562,0.6100120352817526,0.6966635431724121
english,0.5192858662892926,0.46131557299622233,0.4656690521535961,0.5224170329831471,0.4068222573433828
french,0.586114928036506,0.45652387407479766,0.4352124916243539,0.4528244914869476,0.41643289990055365
german,0.44957706140095766,0.41954330956399144,0.3922147550938984,0.47203900102648816,0.4498532601105923
russian,0.9902327594111194,0.9303532476421318,0.9071481891852358,0.5837647936426917,0.5274140990673193
