,1gram,2gram,3gram,sk2gram,sk3gram
arabic,0.7875887942798036,0.706335078100957,0.5637427324675877,0.48773223951937844,0.5740764625634498
english,0.5105416143251017,0.48726244057563994,0.4163824335065277,0.4373542553646418,0.3806135846868196
french,0.495377091389736,0.4145404172521648,0.38974058740258044,0.46743467483649886,0.4294417358660532
german,0.505837332896779,0.43172371135243504,0.406003379321007,0.42803651039021423,0.4075991760884144
russian,0.8664002895927426,0.7123693422672657,0.556459496757761,0.49410512279097957,0.3840381156896343
