,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,0.9622478553680421,0.9606655896458995
english,0.5151893684962674,0.5903836027749965,0.4969900920353208,0.5123962072717826,0.5249644204348809,0.5364910509288301,0.4845740600776821
french,0.6784473152218736,0.52186691393419,0.5533628816973419,0.5812599616123381,0.5548806912271563,0.5195313084515593,0.501134458549975
german,0.6536222525931513,0.5598293854818293,0.6399393327454395,0.6281175434773445,0.6150796971904244,0.5838995267665837,0.5701000837379534
russian,1.0,1.0,1.0,1.0,0.9543517448110072,1.0,0.9905643499867287
