,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,0.9643328630840147,0.9750334175979973,1.0,0.9921871808374373
english,0.3969581307590985,0.40300795108946996,,0.290225322664912,0.43037126213881466,0.37149235758156784
french,0.15772357723577232,0.31815366782883625,0.4489401199161847,0.3232377146228945,0.39431056730925146,0.28300154721014004
finnish,,0.5797953939221611,0.45805489144343386,0.6054410419179189,0.6251943537695185,0.5167772079372491
german,0.5165708927009554,0.43053986919119147,0.4264014327112209,0.6985342056580097,0.7071067811865476,1.0
greek,1.0,1.0,1.0,1.0,1.0,0.917579148840412
hebrew,1.0,1.0,1.0,1.0,1.0,0.9408943484773338
icelandic,0.6515511236912782,0.6374725695174325,0.37037037037037035,0.6793662204867574,0.8890895361322,0.7047298732064892
russian,1.0,1.0,1.0,0.9185409599301808,0.994010539731637,0.865269923811191
spanish,0.7071067811865476,0.3380939595579841,0.9529122936943554,0.7311104457090247,0.40575075537410976,1.0
swahili,0.39528470752104744,0.5431888719469418,0.5726781292639169,0.37200885276451495,0.4516355225438406,0.703982187098765
turkish,1.0,1.0,0.408169237798725,1.0,1.0,1.0
