,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,0.9955652353817525,1.0,0.99871875897015,0.9522575955194164
english,0.3248567605785926,0.21656596093253436,0.34641016151377546,0.8,0.48504879050102356,0.4027149608689324
french,0.31807914907579854,0.33340129180372785,0.37282440960691027,,0.37461876417401097,0.41396783632875706
finnish,0.29794582065151676,0.44899161206822136,0.8854166666666666,0.4368494523465659,0.5955420732457226,0.42312841656272143
german,0.5606119105813882,1.0,0.7825422900366437,0.5345224838248488,0.6296449651674052,0.7145996948780622
greek,1.0,1.0,1.0,1.0,1.0,0.9213580383744032
hebrew,1.0,1.0,0.9054824555604467,1.0,1.0,0.9470896293981383
icelandic,0.4605661864718383,1.0,0.780954614488006,1.0,0.6994866912378935,1.0
russian,1.0,1.0,0.9432208839298817,0.9838794565405263,0.9728917717200355,0.9555259184247177
spanish,1.0,0.5400617248673217,0.9783991809404571,0.6662724059413829,1.0,0.8323582900575635
swahili,0.6220554597268216,0.5064115655435228,0.3517900210430544,0.31791432606376446,0.5765696078461001,0.6584007676305864
turkish,0.6043752651108782,0.9329460218997073,0.42051142227655297,1.0,0.858374218932557,1.0
